,物件名,住所,最寄駅,築年数,価格,利回り,戸数,構造,建物面積,土地面積
60,【専任】オーナーチェンジ物件！,"
      埼玉県春日部市緑町1丁目    ",東武伊勢崎・大師線 春日部駅 徒歩22分 他,1995年09月（築28年）,"
              1650万円            ","
              6.90%            ",,木造,"
      94.35㎡      (17.5万円/㎡)    ","
      50.72㎡      (32.6万円/㎡)    "
61,JR埼京線「武蔵浦和」駅徒歩5分！！一棟ビル,"
      埼玉県さいたま市南区別所7丁目    ",JR埼京線 武蔵浦和駅 徒歩5分 他,1989年11月（築34年）,"
              8800万円            ","
              5.90%            ",,RC造,"
      115.94㎡      (76.0万円/㎡)    ","
      59.61㎡      (147.7万円/㎡)    "
62,【専任】空家につき即引渡可能です,"
      埼玉県八潮市大字南後谷字屋敷    ",東武伊勢崎・大師線 草加駅 バス5分,1974年02月（築49年）,"
              680万円            ",0,,木造,"
      70.21㎡      (9.7万円/㎡)    ","
      84.60㎡      (8.1万円/㎡)    "
63,平成築　駐車場付戸建　5DK　駅徒歩12分,"
      大阪府柏原市国分    ",JR西日本 関西本線 河内堅上駅 徒歩12分,1990年06月（築33年）,"
              490万円            ","
              13.46%            ",,木造,"
      74.52㎡      (6.6万円/㎡)    ","
      69.86㎡      (7.1万円/㎡)    "
64,東武東上線『新河岸』駅利用可・平成4年築・鉄骨造3階建・AP,"
      埼玉県川越市砂新田1丁目    ",東武東上線 新河岸駅 徒歩18分,1992年07月（築31年）,"
              4500万円            ","
              8.24%            ",9戸,鉄骨造,"
      213.58㎡      (21.1万円/㎡)    ","
      132.32㎡      (34.1万円/㎡)    "
65,【想定利回り約14.66％】東武伊勢崎線『加須』駅利用可,"
      埼玉県加須市騎西    ",東武伊勢崎・大師線 加須駅 バス11分,1986年05月（築37年）,"
              1980万円            ","
              14.66%            ",6戸,木造,"
      198.16㎡      (10.0万円/㎡)    ","
      176.42㎡      (11.3万円/㎡)    "
66,ＲＥＸＺＹ西川口ＡＺⅢ,"
      埼玉県川口市並木３丁目    ",JR京浜東北・根岸線 西川口駅 徒歩4分,"
      2019年03月（築4年）          ","
              2400万円            ","
              3.56%            ",79戸,RC造,"
      22.29㎡      (107.7万円/㎡)    ", 
67,川口市芝２丁目アパート,"
      埼玉県川口市芝２丁目    ",JR京浜東北・根岸線 蕨駅 徒歩14分,1979年05月（築44年）,"
              5280万円            ","
              6.65%            ",6戸,木造,"
      166.38㎡      (31.8万円/㎡)    ","
      158.79㎡      (33.3万円/㎡)    "
68,戸田市喜沢１丁目一棟マンション,"
      埼玉県戸田市喜沢１丁目    ",JR京浜東北・根岸線 西川口駅 徒歩11分,2006年10月（築17年）,"
              1億9800万円            ","
              5.04%            ",9戸,RC造,"
      426.63㎡      (46.5万円/㎡)    ","
      291.79㎡      (67.9万円/㎡)    "
69,石原中古住宅,"
      埼玉県熊谷市石原113    ",JR高崎線 熊谷駅 バス15分,1974年04月（築49年）,"
              600万円            ","
              11.00%            ",,木造,"
      106.50㎡      (5.7万円/㎡)    ","
      215.32㎡      (2.8万円/㎡)    "
70,■■投資のLEX■■「新所沢」駅　徒歩１２分　土地,"
      埼玉県所沢市花園２    ",西武新宿線 新所沢駅 徒歩12分,"
      437.42㎡      (25.8万円/㎡)    ","
              1億1280万円            ",0,0,0,0,0
71,駅歩2分！新耐震基準！想定満室利回り6.26％！,"
      埼玉県川越市砂    ",東武東上線 新河岸駅 徒歩2分,1987年03月（築36年）,"
              5000万円            ","
              6.26%            ",8戸,木造,"
      118.80㎡      (42.1万円/㎡)    ","
      167.16㎡      (30.0万円/㎡)    "
72,大宮　利回り14％！！,"
      埼玉県さいたま市見沼区大字大谷1861    ",JR京浜東北・根岸線 大宮駅 バス20分,"
      1968年01月（築55年）          ","
              620万円            ","
              14.51%            ",,RC造,"
      43.51㎡      (14.3万円/㎡)    ", 
73,角地！現在介護施設一棟貸し中！新耐震基準！,"
      埼玉県蓮田市蓮田５    ",JR湘南新宿ライン宇須 蓮田駅 徒歩20分 他,1996年11月（築27年）,"
              4980万円            ","
              6.89%            ",,鉄骨造,"
      146.84㎡      (34.0万円/㎡)    ","
      530.13㎡      (9.4万円/㎡)    "
74,※駅徒歩6分、宅配ボックス、AL、EV,"
      埼玉県川口市並木    ",JR京浜東北・根岸線 川口駅 徒歩6分,"
      1988年08月（築35年）          ","
              880万円            ","
              7.77%            ",,SRC造,"
      16.87㎡      (52.2万円/㎡)    ", 
75,アーバンヒルズ西川口,"
      埼玉県川口市並木4    ",JR京浜東北・根岸線 西川口駅 徒歩8分,"
      1991年09月（築32年）          ","
              899万円            ","
              5.60%            ",51戸,SRC造,"
      17.67㎡      (50.9万円/㎡)    ", 
76,※春日部駅徒歩8分、68平米、2021年大規模済み！,"
      埼玉県春日部市粕壁東    ",東武伊勢崎・大師線 春日部駅 徒歩8分,"
      2004年08月（築19年）          ","
              2180万円            ","
              5.39%            ",,SRC造,"
      68.20㎡      (32.0万円/㎡)    ", 
77,※熊谷市、ファミリータイプOC、2015年室内リフォーム済,"
      埼玉県熊谷市上之    ",JR高崎線 熊谷駅 徒歩24分,"
      1990年12月（築33年）          ","
              1100万円            ","
              8.94%            ",,RC造,"
      65.90㎡      (16.7万円/㎡)    ", 
78,Fコーポ,"
      埼玉県川口市大字小谷場436    ",JR武蔵野線 南浦和駅 徒歩17分,1987年11月（築36年）,"
              5000万円            ","
              5.18%            ",4戸,木造,"
      135.80㎡      (36.9万円/㎡)    ","
      153.00㎡      (32.7万円/㎡)    "
79,駅歩10分！新耐震基準！想定満室利回り7.70％！,"
      埼玉県春日部市西金野井    ",東武野田線 南桜井駅 徒歩10分,1989年02月（築34年）,"
              4980万円            ","
              7.70%            ",8戸,木造,"
      192.92㎡      (25.9万円/㎡)    ","
      251.00㎡      (19.9万円/㎡)    "
80,セザール川口朝日町,"
      埼玉県川口市朝日２丁目    ",埼玉高速鉄道 南鳩ヶ谷駅 徒歩9分 他,"
      1988年05月（築35年）          ","
              1580万円            ","
              7.21%            ",29戸,RC造,"
      45.52㎡      (34.8万円/㎡)    ", 
81,埼玉県川口市　区分マンション,"
      埼玉県川口市仲町16    ",JR京浜東北・根岸線 西川口駅 徒歩14分 他,"
      1991年08月（築32年）          ","
              1030万円            ","
              6.40%            ",48戸,SRC造,"
      23.85㎡      (43.2万円/㎡)    ", 
82,■■最上階■バストイレ別■室内リフォーム済■33平米■■,"
      埼玉県ふじみ野市鶴ヶ丘    ",東武東上線 上福岡駅 徒歩18分,"
      1972年05月（築51年）          ","
              250万円            ","
              14.40%            ",30戸,RC造,"
      33.71㎡      (7.5万円/㎡)    ", 
83,吉沢荘,"
      埼玉県所沢市大字上安松274    ",JR武蔵野線 新秋津駅 徒歩12分,1971年06月（築52年）,"
              2480万円            ","
              10.20%            ",8戸,木造,"
      138.74㎡      (17.9万円/㎡)    ","
      152.39㎡      (16.3万円/㎡)    "
84,【荻窪駅徒歩10分】1億以下！40坪！6.73％,"
      東京都杉並区上荻２丁目    ",JR総武・中央緩行線 荻窪駅 徒歩10分,1983年12月（築40年）,"
              9980万円            ","
              6.73%            ",10戸,木造,"
      150.38㎡      (66.4万円/㎡)    ","
      132.78㎡      (75.2万円/㎡)    "
85,新耐震基準！全6戸満室！表面利回り9%！,"
      埼玉県草加市手代１    ",東武伊勢崎・大師線 草加駅 徒歩18分,1988年04月（築35年）,"
              3600万円            ","
              9.00%            ",6戸,木造,"
      124.88㎡      (28.9万円/㎡)    ","
      136.72㎡      (26.4万円/㎡)    "
86,オーゼットローヤル東大宮,"
      埼玉県さいたま市見沼区東大宮5丁目    ",JR東北本線 東大宮駅 徒歩4分,1987年09月（築36年）,"
              3億5500万円            ","
              7.40%            ",62戸,RC造,"
      1198.00㎡      (29.7万円/㎡)    ","
      619.86㎡      (57.3万円/㎡)    "
87,想定満室利回り8.22％！全6戸のコンパクト収益レジデンス！,"
      埼玉県草加市瀬崎３    ",東武伊勢崎・大師線 谷塚駅 徒歩12分,1980年07月（築43年）,"
              4000万円            ","
              8.22%            ",6戸,木造,"
      173.09㎡      (23.2万円/㎡)    ","
      144.94㎡      (27.6万円/㎡)    "
88,埼玉県熊谷一棟アパート2500万12.29％,"
      埼玉県熊谷市伊勢町388    ",JR上越新幹線 熊谷駅 徒歩15分,1980年10月（築43年）,"
              2500万円            ","
              12.28%            ",8戸,木造,"
      115.92㎡      (21.6万円/㎡)    ","
      112.48㎡      (22.3万円/㎡)    "
